Дата,Категория,Продукт,Цена,Количество,Выручка,Регион,Тип клиента
2023-09-16,Дом и сад,Мебель,63667,8,509336,Екатеринбург,Постоянный
2023-06-21,Книги,Детектив,26080,3,78240,Новосибирск,Постоянный
2023-10-05,Дом и сад,Мебель,9486,2,18972,СПб,Постоянный
2024-12-14,Дом и сад,Посуда,44650,7,312550,Новосибирск,Постоянный
2024-09-21,Спорт,Велосипед,6727,3,20181,Казань,Новый
2023-07-02,Спорт,Коврик,34379,2,68758,Новосибирск,Новый
2023-11-13,Электроника,Наушники,28268,8,226144,Москва,Постоянный
2024-12-01,Дом и сад,Инструменты,1092,3,3276,Екатеринбург,Постоянный
2024-05-22,Книги,Детектив,29407,3,88221,Екатеринбург,Новый
2023-08-14,Книги,Фантастика,84393,10,843930,Новосибирск,Постоянный
2023-06-11,Дом и сад,Посуда,65381,9,588429,Казань,Новый
2023-09-20,Книги,Роман,898,2,1796,Новосибирск,Постоянный
2023-05-14,Электроника,Смартфон,9573,5,47865,СПб,Новый
2023-01-27,Электроника,Планшет,25162,8,201296,СПб,Новый
2024-02-09,Книги,Роман,89998,7,629986,Казань,Новый
2024-05-06,Книги,Детектив,79256,10,792560,Казань,Постоянный
2024-07-30,Книги,Роман,65594,1,65594,Новосибирск,Постоянный
2023-08-07,Спорт,Мяч,65828,4,263312,Новосибирск,Постоянный
2023-03-20,Одежда,Футболка,75218,8,601744,Новосибирск,Новый
2023-07-22,Электроника,Смартфон,91386,7,639702,Новосибирск,Постоянный
2024-06-03,Одежда,Платье,40200,5,201000,Казань,Новый
2024-12-11,Спорт,Форма,85001,7,595007,Новосибирск,Новый
2023-09-17,Спорт,Форма,65526,6,393156,Казань,Новый
2023-11-03,Дом и сад,Посуда,36705,2,73410,СПб,Постоянный
2023-06-29,Спорт,Велосипед,20159,6,120954,Новосибирск,Постоянный
2024-06-05,Дом и сад,Инструменты,15949,4,63796,Екатеринбург,Новый
2023-02-14,Дом и сад,Текстиль,11513,3,34539,Екатеринбург,Новый
2024-11-25,Спорт,Гантели,11118,4,44472,СПб,Постоянный
2024-07-25,Спорт,Мяч,28493,4,113972,Казань,Постоянный
2023-12-27,Дом и сад,Посуда,35781,7,250467,СПб,Постоянный
2023-02-07,Дом и сад,Текстиль,85356,5,426780,Екатеринбург,Новый
2024-08-14,Электроника,Ноутбук,46749,4,186996,Новосибирск,Новый
2024-11-30,Одежда,Куртка,3475,10,34750,Казань,Постоянный
2024-05-05,Книги,Учебник,2049,9,18441,Екатеринбург,Постоянный
2024-02-14,Книги,Биография,30852,6,185112,Казань,Новый
2024-02-17,Дом и сад,Текстиль,64143,4,256572,Казань,Новый
2024-08-14,Одежда,Платье,55035,3,165105,Новосибирск,Постоянный
2024-10-15,Одежда,Футболка,77451,6,464706,Новосибирск,Новый
2023-01-08,Книги,Детектив,39149,8,313192,Екатеринбург,Новый
2023-03-15,Спорт,Гантели,28200,2,56400,СПб,Постоянный
